depto,loc,dire,distri,phono,MAM,rs,cod,x,y
Montevideo,Montevideo,Camino Cibils 6898,Axion,2312 3837,1,Baltisur S.A.,317,,
Canelones,Aeropuerto,Ruta 101 km 19 y yacaré,Ducsa,2682 7054,1,CELEMYR S.A.,121,-56.02439209,-34.84526214
Canelones,Barra de Carrasco,Av. Giannttasio 8300,Petrobras,2604 1546,1,MISUROL S.A.,151,-56.02867519,-34.87162276
Canelones,Barra de Carrasco,Rbla. Costanera s/n y Lavalleja,Ducsa,2601 5358 - 2604 1557,1,DINEX S.R.L.,129,-56.03004266,-34.87824582
Canelones,Barra de carrasco,Avda. al Pque. Roosvelt y Costanera,Petrobras,2604 1546,1,TREBOL AZUL S.A.,170,-56.02378263,-34.87423735
Canelones,Canelón Chico,"Ruta 69 km 30,250",Ducsa,2368 9634 - 2368 9684,1,Barcello Hnos. S.R.L.,114,-56.18287874,-34.66226587
Montevideo,Montevideo,J.José de Amézaga 1896 esq Democracia,Axion,2200 4948,1,FOICAL S.A.,362,-56.17740414,-34.88675736
Montevideo,Montevideo,Bvar. Artigas 3954,Axion,2200 6484,1,PELTIR S.A.,419,-56.19066015,-34.87113632
Canelones,Canelones,Treinta y Tres esq. Figueroa,Petrobras,2332 6184,0,VOYAGER LTDA.,175,-56.28179046,-34.53001237
Montevideo,Montevideo,General Flores 2802,Axion,2208 4999,1,SERVICENTRO GOES S.R.L.,435,-56.17921453,-34.87632653
Canelones,El Pinar,Av. Gianatassio km 28.500,Ducsa,2698 3853,1,BRACORAL S.A.,116,-55.91912868,-34.8006259
Montevideo,Montevideo,GRAL. SAN MARTIN 3140 ESQ. FOMENTO,Axion,2208 7877,1,IVONIL SOCIEDAD ANONIMA,322,-56.18123335,-34.86883188
Canelones,La Paz,Avda. Artigas s/n esq. La Merced,Ducsa,2362 3100,1,ESTACIÓN VIALE DE LA PAZ S.A.,133,-56.22400265,-34.75142575
Canelones,La Paz,J. Battle y Ordoñez 259,Petrobras,2362 2388,1,Meger Ltda.,150,-56.22575876,-34.76277971
Canelones,La Paz,"Ruta 5 km 19,700",Ducsa,2362 3142 - 2362 2169,1,TAFIBEL S.A.,167,-56.2532801,-34.75003927
Canelones,Lagomar,Avda. Giannattasio km 21,Ducsa,2682 2002 -2682 0980,1,ESTACION LAGOMAR LTDA.,132,-55.98912149,-34.83911194
Canelones,Lagomar,Rbla. Costanera y Ecuador,Ducsa,2682 4794 - 2682 0464 - 094422673,1,Itinol S.A.,141,-55.99576679,-34.86016577
Canelones,Las Piedras,Dr. Pouey 662,Ducsa,2364 5570 - 2364 8075,1,BREGU S.R.L.,117,-56.22395812,-34.72925171
Canelones,Las Piedras,Avda. Artigas y  Rep. Argentina,Ducsa,2364 4573,1,MEC LTDA.,149,-56.21111663,-34.72696455
Montevideo,Montevideo,Luis A. de Herrera 2092,Axion,2209 1625,1,GAMBER S.A.,366,-56.14727218,-34.88890869
Montevideo,Montevideo,Luis A. de Herrera 4097,Axion,2209 1625,1,RIMA LTDA.,428,-56.1861045,-34.86139279
Montevideo,Montevideo,Agraciada 2704,Axion,2209 7433,1,ACRONAR S.A.,303,-56.1948836,-34.88200577
Canelones,Progreso,Ruta 5 vieja km 29 esq. Colonia,Ducsa,2368 9020,1,ARCO LTDA.,111,-56.22197665,-34.66297124
